name,price,unit,category
"МДФ t=6 мм",154.59,"м2",9
"МДФ t=10 мм",272.00,"м2",9
"Клей",1000,"шт",9
"Наждачная бумага",214.00,"м2",9
"Губка шлифовальная",60.00,"шт",9
"Колер",55,"л",9
"Упаковка",30,"шт",9
"накладные расходы",734,"шт",9
"Зарплата [Наружка, без вставок]",65,"шт",9
"Заложенная сложность МДФ-панель [Простая]",600,"шт",9
"Заложенная сложность МДФ-панель [Средняя]",800,"шт",9
"Заложенная сложность МДФ-панель [Повышенная]",1000,"шт",9
"Заложенная сложность Наличники [Простая]",300,"шт",9
"Заложенная сложность Наличники [Средняя]",400,"шт",9
"Заложенная сложность Наличники [Повышенная]",500,"шт",9
"МДФ t=12 мм",290.89,"м2",9
"Клей "88-luxe" Рогнеда (ведро 20л.)",430,"шт",9
"Стекло лакобель",1400.00,"м2",9
"Зеркало",1100.00,"м2",9
"Нержавейка лист 0.6мм",187,"кг",9
"Гайка М4",0.59,"шт",9
"Шайба М4",1.61,"шт",9
"Шпильки Forta",1.93,"шт",9
"Шпильки + Гайки Verso",2.52,"шт",9
"Шпильки + Гайки Stark",2.52,"шт",9
"Обработка кромки стекла до 30мм (Еврокромка)",60,"п.м",9
"Обработка кромки стекла от 30мм (Еврокромка)",40,"п.м",9
"Фацет (12 мм)",140,"п.м",9
"Герметик",260,"шт",9
